barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
f002101ebba60a080c9fe3049203d4c4,Mineraalvesi VÄRSKA originaal 1.5L,VÄRSKA ORIGINAAL,1500,4740042100011,"VÄRSKA ORIGINAAL 1,5 L",VÄRSKA ORIGINAAL,1.5 l,4740042100011,prisma,0.8421,,medium
f01bde235d41349f7a3ba84ffed31769,"Viin VIRU VALGE Cranberry 37,5% 500ml",VIRU VALGE,500ml,4740050007517,Viru Valge Cranberry viin 38%vol 500ml,Viru Valge,500 ml,4740050007517,prisma,0.9118,0.0,strong
f02a7081820696ad173b937ee05cbda1,Ploominektar PÕLTSAMAA 1L,PÕLTSAMAA,1L,4740029055099,Põltsamaa ploominektar 1L,Põltsamaa,1 l,4740029055099,prisma,1.0,0.0,strong
f038ec64ca1ce90957e675836315a4b5,"Täispiim ALMA 3,8-4,2%, 0.5L",ALMA,5L,4740125120332,"Alma täispiim 3,8-4,2% 0,5l",Alma,0.5 l,4740125120332,prisma,0.9818,90.0,strong
f0d7aaa9cdf34359bfe6d150193c2568,"Toorjuust OTTO küüslaugu-ürtidega,150g",PIIMAMEISTER OTTO,150g,4740572006296,Piimameister Otto toorjuust küüslaugu ja ürtidega 150g,Piimameister Otto,150 g,4740572006296,prisma,0.8627,0.0,medium
f16532bf24b8ebacb9af0c41b0c74c64,"Kodukandi EESTI PAGAR koorikleib, 300g",EESTI PAGAR,300g,4740086019898,Eesti Pagar Kodukandi Koorikleib 4 X 75 G,Eesti Pagar,4x75 g,4740086019898,prisma,0.8608,0.0,medium
f194358cdf47d8f1f6f336afe7b6d958,Karastusjook COCA-COLA 330ml,COCA-COLA,330,90375408,Coca-Cola zero karastusjook 330ml,Coca-Cola,330 ml,90375408,prisma,1.0,,strong
f1e5c3d6e12273e4bbb83d9318adf0c0,Karb.looduslik.min.vesi BORJOMI 6x1.25L,Borjomi,6x1,4860019002084,"Borjomi karboniseeritud looduslik mineraalvesi 6x1,25L",Borjomi,1.25L,4860019002084,prisma,0.7742,,medium
f20f4c49079e4750241ffe3cb1ea9190,Kodukandi rukkil.viil. EESTI PAGAR 390g,EESTI PAGAR,390g,4740086001497,Eesti Pagar Kodukandi Rukkileib 390 G,Eesti Pagar,390 g,4740086001497,prisma,0.8947,0.0,medium
f23925be5e9665130109a3419a2744f0,"Narva Peenleib EP, 310g",Eesti Pagar,310g,4740086001114,Eesti Pagar Jassi Seemneleib 310 G,Eesti Pagar,310 g,4740086001114,prisma,0.7536,0.0,medium
f2b235cab6791a4ffc541da24fecf7a7,Kanepiseemne leib rukkiteradega 500g,EESTI PAGAR,500g,4740086013759,Eesti Pagar Kanepiseemne Leib Rukkiteradega 500 G,Eesti Pagar,500 g,4740086013759,prisma,0.9897,0.0,strong
f2ba412862fad87502066ff2c017345d,Ploominektar AURA 1L,AURA,1000,4740051004331,Aura ploominektar 1L,Aura,1 l,4740051004331,prisma,1.0,,strong
f2ba412862fad87502066ff2c017345d,Ploominektar AURA 1L,AURA,1000,4740051004317,Aura multinektar 1L,Aura,1 l,4740051004317,prisma,0.8205,,medium
f2dde075f07ecfc868f89fb4f37b594e,"Külm.kultuurmustikad HARMAVILI,300g",HÄRMAVILI,300g,4740188019772,"Härmavili kultuurmustikad, 300g",Härmavili,300 g,4740188019772,prisma,0.7895,0.0,medium
f30ba3d7ef771657807e4b95c519463a,"Margariin RAMA Classic 75%, 400g",RAMA,400g,8719200264854,"Margariin Classic, RAMA, 400 g",Rama,400 g,8719200264854,prisma,0.7761,0.0,medium
f34e3a5d9c07c92179cc4d595c4d831d,"Pavlova beseek.põhjad REVAL KOND.,8x22g",REVAL KONDIITER,8x22g,4742581004171,Reval Kondiiter Pavlova Beseekoogi Põhjad 8 X 22 G,Reval Kondiiter,8x22 g,4742581004171,prisma,0.7677,0.0,medium
f36605f02406ff10c4d5335e7feb9590,Viin SAAREMAA 40% 1L,SAAREMAA VODKA,1L,4740054002518,Saaremaa Vodka 40%vol 1L,Saaremaa Vodka,1 l,4740054002518,prisma,0.88,0.0,medium
f3cd34ca9332bd4d3a48a93e056b1150,Kartuli-röstsibula Pehmik EP 240g,EESTI PAGAR,240g,4740086023550,Eesti Pagar Kartuli-Röstsibula Pehmik 4x60 G,Eesti Pagar,4x60 g,4740086023550,prisma,0.9213,0.0,strong
