product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
125405,"Kohvikoor 10%, TERE, 380 ml",,,Selver,,,drinks,drinks_tea_coffee,medium
125407,"Kõrgkuum piimajook šokolaadi ja vitamiinidega, VÄIKE TOM, 200 ml",,,"Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125408,"Kõrgkuum piim banaanilisandi ja vitamiinidega, VÄIKE TOM, 200 ml",PREMIA TALLINNA KÜLMHOONE AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
125409,"Hele õlu Alexander, ALEXANDER, 500 ml pudel",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125410,"Hele õlu Alexander Pint, ALEXANDER, 568 ml purk",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125411,"Piim 2,5%, TERE, 1,5 L",,,Selver,,,dairy_eggs_fats,dairy_milk,high
125412,"Piim rasvatu 0,05%, ALMA, 1 L",,,Selver,,,dairy_eggs_fats,dairy_milk,high
125413,"Hele õlu Danish Pilsner, CARLSBERG, 500 ml purk",SAKU ÕLLETEHASE AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125414,"Kitsetoorpiim pastöriseerimata 3-5%, ANDRI-PEEDO, 500 ml",NOPRI TALUMEIEREI OÜ,,Selver,,,dairy_eggs_fats,dairy_milk,high
125416,"Köögikaste laktoosivaba, ALPRO, 250 ml",NUTRICIA SIA,,"Barbora, Coop, Maxima, Rimi, Selver",,,other,other,low
125417,"Mahe-toorpiim, PAJUMÄE TALU, 500 ml",PAJUMÄE TALU OÜ,,Selver,,,dairy_eggs_fats,dairy_milk,high
125418,"Kondenspiim magustatud, BALTIKA, 290 g",BALTIKA FOOD OÜ,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
125419,"Hele õlu Genuine, BUD, 330 ml pudel",MOMENTIN EESTI OÜ,,Selver,,,drinks,drinks_beer_cider,high
125420,"Sojajook kaltsiumi ja vitamiinidega, magustamata laktoosivaba, ALPRO, 1 l",NUTRICIA SIA,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125421,"Šokolaadi maitseline dessert kaltsiumiga laktoosivaba, ALPRO, 125 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125422,"Hele õlu Green 6-pakk, TUBORG, 6x330 ml pudel",SAKU ÕLLETEHASE AS,,Selver,,,drinks,drinks_beer_cider,high
125423,"Vanilli sojajook laktoosivaba, ALPRO, 1 l",NUTRICIA SIA,,"Coop, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125424,"Taimne dessert mustsõstar laktoosivaba, DEARY, 150 g",,,"Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125425,"Sojajook kaltsiumiga laktoosivaba, ALPRO, 1 l",NUTRICIA SIA,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125426,"Vanillimaitseline dessert kaltsiumiga laktoosivaba, ALPRO, 125 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_desserts,medium
125427,"Taimne dessert mango laktoosivaba, DEARY, 150 g",DEARY OÜ,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125428,"Hele õlu Green, TUBORG, 330 ml pudel",SAKU ÕLLETEHASE AS,,Selver,,,drinks,drinks_beer_cider,high
125429,"Mandlijook magustamata, NATRUE, 1 L",,,Selver,,,other,other,low
125430,"Šokolaadi sojajook laktoosivaba, ALPRO, 250 ml",NUTRICIA SIA,,"Barbora, Coop, Maxima, Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125431,"Piim 3,2% kõrgpastöriseeritud laktoosivaba, MLEKOVITA, 500 g",KANPOL AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
125432,"Mahe-hapukoor, PAJUMÄE TALU, 250ml",PAJUMÄE TALU OÜ,,"Rimi, Selver",,,dairy_eggs_fats,dairy_cream_sourcream,high
