product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
123933,"Head ööd teraviljapuder piimasegu ja banaaniga mahe 4+, HIPP, 190 g",LTT AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_milk,high
123934,"Head ööd teraviljapuder piimasegu ja puuviljadega mahe 4+, HIPP, 190 g",LTT AS,,Selver,,,dairy_eggs_fats,dairy_milk,high
123935,"Põdralihast täissuitsuvorst juustuga Eesti Uluk, RANNAROOTSI, 180 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_cheese_slices,high
123936,"HULGI Coca-Cola 6-pakk, 4tk, COCA-COLA, 4 x 6-pakk",COCA-COLA HBC EESTI AS,,Selver,,,drinks,drinks_soft_soda,high
123937,"Salaami trühvliga viilutatud, GIANNI NEGRINI, 80 g",DELINE OÜ,,Selver,,,other,dry_other,fallback
123938,"HULGI Coca-Cola Zero 6-pakk, 4tk, COCA-COLA, 4 x 6-pakk",COCA-COLA HBC EESTI AS,,Selver,,,drinks,drinks_soft_soda,high
123939,"Ameerikapärane burgerikaste, HEINZ, 400ml",EUGESTA EESTI OÜ,,"Coop, Selver",,,dry_preserves,dry_canned_veg,high
123940,"Täissuitsuvorst Mündi, OSKAR, 210 g",OSKAR LT AS,,Selver,,,meat_fish,meat_sausages,high
123941,"Täissuitsu põdravorst, LINNAMÄE LIHATÖÖSTUS, 105 g",LINNAMÄE LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_sausages,high
123942,"HULGI India pähkel 3tk, PÄHKLINÄPP, 3 x 500 g",,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
123943,"Angel Hair piimašokolaad, GERMIYAN,",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_milk,high
123944,"Granaatõunaseemned, 130 g",Määramata,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
123945,"Bolognese pastakaste hakklihaga,TARTU MILL, 340 g",TARTU MILL AS,,"Coop, Selver",,,dry_preserves,dry_pasta_rice,high
123946,"Cappuccinokook, PAGARINI, 220 g",EESTI PAGAR AS,,"Rimi, Selver",,,bakery,bakery_cakes_pastries,high
123947,"Lihatoodete duo (Fiocco, Salaami Milano), NEGRONI, 85 g",SELVER AS,,Selver,,,meat_fish,meat_other,heuristic
123948,"Salaamilõigud Emmentali juustuga, lainelised, NÕO, 100 g",NÕO LIHATÖÖSTUS OÜ,,Selver,,,dairy_eggs_fats,dairy_cheese_slices,high
123949,"Vinnutatud veiseliha Bresaola, NEGRONI, 90 g",SELVER AS,,Selver,,,meat_fish,meat_beef_lamb_game,high
123950,"Till potis, GRÜNE FEE, tk",Määramata,,"Coop, Rimi, Selver",,,produce,produce_herbs_salads_sprouts,high
123951,"Täissuitsu metsseavorst jalapenoga, LINNAMÄE LIHATÖÖSTUS, 230 g",LINNAMÄE LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_sausages,high
123952,"HULGI Koduviiner 2tk, MAKS&MOORITS, 2 x 500 g",,,Selver,,,drinks,drinks_spirits,high
123953,"Lihakas doktorivorst, RAKVERE, 170 g",MAAG EESTI AS,,"Coop, Selver",,,meat_fish,meat_sausages,high
123954,"Keeduvorst Laste, RAKVERE, kg",,,Selver,,,meat_fish,meat_sausages,high
123955,"Kadakamari, SANTA MARIA, 21 g",SANTA MARIA AS,,Selver,,,other,dry_other,fallback
123956,"Kalamaitseaine sidruniga, SANTA MARIA, 23 g",SANTA MARIA AS,,"Coop, Selver",,,world_spices,spices_herbs_spice_mix,high
123957,"Kalamaitseaine tilliga, ilma lisatud soolata, SANTA MARIA, 23 g",SANTA MARIA AS,,Selver,,,world_spices,spices_basic_salt_pepper,high
123958,"Koriander potis, GRÜNE FEE, tk",Määramata,,"Coop, Rimi, Selver",,,produce,produce_herbs_salads_sprouts,high
123959,"Rooma salat, kg",Määramata,,Selver,,,produce,produce_herbs_salads_sprouts,high
123960,"BIO 003 spagetid / Spaghetti, PASTA ZARA, 500 g",SVENSKY KAUBANDUSE AS,,Selver,,,dry_preserves,dry_pasta_rice,high
123961,"Maksapasteet lahtine, SELVERI KÖÖK, kg",KULINAARIA OÜ,,Selver,,,drinks,drinks_tea_coffee,high
123962,"Maksapasteet, PIHLAKA, 150 g",PIHLAKA AS,,Selver,,,drinks,drinks_tea_coffee,high
123963,"Brändi IMPERIAL XII VSOP, 70 cl",MV EESTI OÜ,,Selver,,,drinks,drinks_spirits,high
123964,"Brändi J.P. CHENET VSOP, 20 cl",DUNKER ESTONIA OÜ,,Selver,,,drinks,drinks_spirits,high
123965,"Brändi J.P. Chenet VSOP, 50 cl",DUNKER ESTONIA OÜ,,"Coop, Selver",,,drinks,drinks_spirits,high
123966,"Brändi J.P. Chenet VSOP, 70 cl",DUNKER ESTONIA OÜ,,"Rimi, Selver",,,drinks,drinks_spirits,high
123967,"Cayenne'i piprakaste, FRANKS´RED HOT, 148 ml",KARIA OÜ,,Selver,,,sauces_oils,sauces_other,heuristic
123968,"7 lemmikut kaalu, KALEV, 1 kg",ORKLA EESTI AS,,"Rimi, Selver",,,other,dry_other,fallback
123969,"Kalamaitseaine tsitruse-ingveriga, MEIRA, 25 g",MEIRA EESTI OÜ,,Selver,,,world_spices,spices_herbs_spice_mix,high
123970,"Kanasült Fitlap, NÕO LIHAVÜRST, 300 g",NÕO LIHATÖÖSTUS OÜ,,"Coop, Selver",,,meat_fish,meat_poultry,high
123971,"Vasikalihasült, RANNAROOTSI, 330 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Coop, Selver",,,meat_fish,meat_other,heuristic
