product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason,source_file
417461,"Külm.Ukr.borš köögiv.segu HORTEX, 450g",HORTEX,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417462,"Külm.Wokmix Orient köög.segu BAUER,400g",BAUER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417473,"Salvei WELL DONE, 20g",,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417479,"Külm.Wokmix Thai köögiv.segu BAUER, 400g",BAUER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417492,"Jäät.karam.&päh.topsis SUPER VIVA, 95g",SUPER VIVA,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417493,Cappuccino La Festa Klassik 10 X 12 5 G,,,,,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417494,"Jäät.stracciatella koon SUPER VIVA, 96g",SUPER VIVA,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417498,Bitter STUMBRAS STARKA 43% 0.5L,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417504,Vermut MARTINI Rosato 15% 1L,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417506,Vermut MARTINI Bianco 15% 1L,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
