product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group,sub_code,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
22209,Kotimaista mugulsibul võrgus 500g,Kotimaista,500 g,other,,,,,https://prismamarket.ee/en/toode/kotimaista-mugulsibul-vorgus-500g/6414894502306,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6414894502306.jpg,2025-08-28 15:44:52.91506+00,other,,produce,produce_root_veg,high,veg keyword,,,,
22212,Sangaste mesi mesi 1 kg,Sangaste,1 kg,other,,,,,https://prismamarket.ee/en/toode/sangaste-mesi-mesi-1-kg/4744098010133,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4744098010133.jpg,2025-08-28 15:44:57.736568+00,other,,other,dry_other,low,no hard rule match,,,,
22227,Sangaste mesi mesi 500 g,Sangaste,500 g,other,,,,,https://prismamarket.ee/en/toode/sangaste-mesi-mesi-500-g/4744098010102,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4744098010102.jpg,2025-08-28 15:44:59.479711+00,other,,other,dry_other,low,no hard rule match,,,,
22250,Frosch Aloe Vera pesuloputusvahend 750 ml,Frosch Aloe,750 ml,other,,,,,https://prismamarket.ee/en/toode/frosch-aloe-vera-pesuloputusvahend-750-ml/4009175182661,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4009175182661.jpg,2025-09-03 21:32:26.315344+00,other,,household,hh_laundry,high,block+laundry keyword,,,,
22288,Spinat 150g,Spinat,150 g,other,,,,,https://prismamarket.ee/toode/spinat-150g/6438574031986,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6438574031986.jpg,2025-08-28 15:45:13.290761+00,other,,other,dry_other,low,no hard rule match,,,,
22310,"Wiru mill mahe toortatratang 1 kg, gluteenivaba",Wiru,1 kg,other,,,,,https://prismamarket.ee/en/toode/wiru-mill-mahe-toortatratang-1-kg-gluteenivaba/4742898010025,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742898010025.jpg,2025-08-28 15:45:21.091664+00,other,,other,dry_other,low,no hard rule match,,,,
22327,Sunshine Delights kuivatatud ananass 100g,Sunshine Delights,100 g,other,,,,,https://prismamarket.ee/toode/sunshine-delights-kuivatatud-ananass-100g/7090046314165,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7090046314165.jpg,2025-08-28 15:45:27.468041+00,other,,other,dry_other,low,no hard rule match,,,,
22337,"Coop toiduvärv, roheline, 30 ml",Coop,30 ml,other,,,,,https://prismamarket.ee/en/toode/coop-toiduvarv-roheline-30-ml/7340191150263,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191150263.jpg,2025-08-28 21:32:19.624332+00,other,,other,dry_other,low,no hard rule match,,,,
22339,Kotlin mahe ketšup gluteenivaba 450g,Kotlin,450 g,other,,,,,https://prismamarket.ee/en/toode/kotlin-mahe-ketsup-gluteenivaba-450g/5900385012573,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/5900385012573.jpg,2025-09-07 06:40:57.413844+00,other,,sauces_oils,sauces_ketchup_mayo,high,ketchup/mayo,,,,
22345,Paulúns apelsini-mango-grenadilliga granola-tüüpi hommiksöögihelbed 450 g,Paulúns,450 g,other,,,,,https://prismamarket.ee/en/toode/pauluns-apelsini-mango-grenadilliga-granola-tuupi-hommiksoogihelbed-450-g/6417801801288,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6417801801288.jpg,2025-08-28 21:32:24.315484+00,other,,other,dry_other,low,no hard rule match,,,,
22349,Muhe mesi 1100 g,Muhe,1100 g,other,,,,,https://prismamarket.ee/en/toode/muhe-mesi-1100-g/4744329010017,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4744329010017.jpg,2025-08-28 21:32:26.230898+00,other,,other,dry_other,low,no hard rule match,,,,
22361,Coop spagettid 1 kg,Coop,1 kg,other,,,,,https://prismamarket.ee/en/toode/coop-spagettid-1-kg/7340191144828,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191144828.jpg,2025-08-28 21:32:30.311898+00,other,,other,dry_other,low,no hard rule match,,,,
22367,Finax müsli puuvilja 45 % 650 g,Finax,650 g,produce,,,,,https://prismamarket.ee/toode/finax-musli-puuvilja-45-650-g/7311142201358,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7311142201358.jpg,2025-08-28 21:32:39.176351+00,produce,,produce,produce_root_veg,low,no hard rule match,,,,
22372,Vilma tordipulber juubeli 450 g,Vilma,450 g,other,,,,,https://prismamarket.ee/en/toode/vilma-tordipulber-juubeli-450-g/4740141020005,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740141020005.jpg,2025-08-28 21:32:40.959829+00,other,,other,dry_other,low,no hard rule match,,,,
22398,Mahe Kotimaista sibul 500g,Mahe Kotimaista,500 g,other,,,,,https://prismamarket.ee/toode/mahe-kotimaista-sibul-500g/6438574114085,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6438574114085.jpg,2025-08-28 21:32:45.876883+00,other,,produce,produce_root_veg,high,veg keyword,,,,
22424,Mahe dattel 400g,Mahe,400 g,other,,,,,https://prismamarket.ee/en/toode/mahe-dattel-400g/5708147002875,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/5708147002875.jpg,2025-08-28 21:32:50.675997+00,other,,other,dry_other,low,no hard rule match,,,,
22448,Satsuma I klass,Satsuma I,,other,,,,,https://prismamarket.ee/en/toode/satsuma-i-klass/2060327700005,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2060327700005.jpg,2025-08-28 21:32:55.387397+00,other,,other,dry_other,low,no hard rule match,,,,
22449,Honest nektar mesi 300g,Honest,300 g,other,,,,,https://prismamarket.ee/toode/honest-nektar-mesi-300g/4742023520252,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742023520252.jpg,2025-08-28 21:32:59.092825+00,other,,other,dry_other,low,no hard rule match,,,,
