product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason
380322,"Küürimissvamm Marine 10 tk 2,5x8x5cm",Marine,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380324,Eksklusiivne segu Germund 300g,Premium,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380326,Mänguasi Jumpi pruun känguru,Bouncibles,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380327,Konstruktor Lego Panda pelgupaik 21245,Lego,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380329,Veepüstol Nerf Torrent SS25,Määramata,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380332,Konstruktor Lego Tuletõrjeauto 10969,Lego,,,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380337,"Lauamäng Pigasus, Brain Games",Brain Games,,,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380348,"Muu piiritusjook Riga Black Balzam Cherry 30%vol 0,5l",Black Balsam,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380351,"Roosikimp 50cm, 7vart",Määramata,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380360,Rukki näkileivad küüslauguga Linkosuo 150g,Linkosuo,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380363,"Kombucha jook klassikaline Säsi mahe 0,33l pudel",Määramata,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380370,Vatitikud Loving Touch karbis 60tk,Loving Touch,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380372,Glasuurkohuke vanilli multipakk Tere 7x40g,Tere,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380380,Kohvivalgendaja Coffeeta 200g,Coffeeta,,"Barbora, Maxima, Rimi",,,drinks,drinks_other,heuristic,drinks,drinks_other,heuristic,
380384,Mänguasi komplekt Play Doh Fun Factory F8805,Play Doh,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380387,Mahe kreemjas mesi Aasa 500g,Aasa Mesi,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380392,Kontsentraat kaljavirde Maadlex 200g,Maadlex,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380398,Konstruktor Lego Tbd-Sh-2024-Marvel-2 76276,Lego,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380399,"Vitamiinijook Vitamin Well Active 0,5l",Vitamin Well,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380404,Lima Slimy Fruity collection ast 33711,Slimy,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380406,Joogipudel tilaga lastele Philips Avent roosa 200ml,Philips Avent,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380410,Kaste Tropical Salsa Rimi Planet 220g,Rimi Planet,,Rimi,,,sauces_oils,sauces_other,heuristic,sauces_oils,sauces_other,heuristic,
380417,"Liköör Limoncino Bottega 30%vol 0,5l",Bottega,,Rimi,,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
