left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-sulatatud-juust-merevaik-premium-170-g,"Sulatatud juust MEREVAIK Premium, 170g",MEREVAIK,,Selver,4.74004E+12,Merevaik Premium sulatatud juust 170 g,Merevaik Premium,170 g,medium,0.8
Barbora,https-barbora-ee-toode-hele-olu-pilsner-a-le-coq-4-2-proc-500-ml,"Hele Ãµlu PILSNER A.Le Coq 4,2% 500ml",A. LE COQ,,Selver,4.7401E+12,"A. Le Coq Pilsner Ãµlu 4,2%vol 500ml",A. Le,500 ml,medium,0.7143
Barbora,https-barbora-ee-toode-aloe-vera-jook-aleo-premium-1-5-l,Aloe vera jook ALEO Premium 1.5L,ALEO,,Selver,https://www.selver.ee/aloe-vera-jook-premium-aleo-1-5-l,"Aloe Vera jook Premium, ALEO, 1,5 L",PROPOSITO OÃœ,,medium,0.8333
Barbora,https-barbora-ee-toode-kana-juustupihvid-tallegg-320-g,"Kana-juustupihvid TALLEGG, 320g",TALLEGG,,Selver,4.74005E+12,"Kana-juustupihvid, TALLEGG, 320 g",TALLEGG Kana-juustupihvid,320 g,medium,0.75
Barbora,https-barbora-ee-toode-kodujuust-tere-klassikaline-4-proc-300-g,Kodujuust TERE klassikaline 4% 300g,TERE,,Selver,4.74007E+12,"Tere Klassikaline kodujuust 4%, 300 g",Tere Klassikaline,300 g,medium,0.75
Barbora,https-barbora-ee-toode-fitlap-toorvorstid-kanalihaga-noo-400-g,"Fitlap toorvorstid kanalihaga NÃ•O, 400g",NÃ•O,,Selver,4.74057E+12,"Toorvorstid kanalihaga Fitlap, NÃ•O, 400 g",NÃ•O LIHATÃ–Ã–STUS OÃœ,,medium,0.8
Barbora,https-barbora-ee-toode-majonees-tarplan-provansaal-380-g,"Majonees TARPLAN Provansaal, 380g",TARPLAN,,Selver,4.74016E+12,Majonees Provansaal 380g,Majonees Provansaal,380 g,medium,0.75
Barbora,https-barbora-ee-toode-sepik-onne-eesti-pagar-300-g,Sepik Ã•nne EESTI PAGAR 300g,EESTI PAGAR,,Selver,4.74009E+12,Eesti Pagar Ã•nne Sepik 300 G,Eesti Pagar,,medium,0.8
Barbora,https-barbora-ee-toode-juubelisai-eesti-pagar-350-g,Juubelisai EESTI PAGAR 350g,Eesti Pagar,,Selver,4.74009E+12,"Juubelisai, EESTI PAGAR, 350 g",EESTI PAGAR AS,,medium,0.75
Barbora,https-barbora-ee-toode-margariin-delma-extra-39-proc-450-g,"Margariin DELMA Extra 39%, 450g",DELMA,,Selver,8.7192E+12,"Margariin Extra 39%, DELMA, 450 g",Delma,450 g,medium,0.75
Barbora,https-barbora-ee-toode-must-leib-fazer-600-g,Must leib FAZER 600g,FAZER,,Selver,4.7401E+12,Fazer Must Leib 600 G,Fazer Must,600 G,medium,0.75
Barbora,https-barbora-ee-toode-juust-vene-estover-viilutatud-150-g,"Juust Vene ESTOVER viilutatud, 150g",ESTOVER,,Selver,4.74057E+12,"Estover Vene juust, viilutatud, 150 g",Estover Vene,150 g,medium,0.8
Barbora,https-barbora-ee-toode-gin-hendrick-s-gin-41-4-proc-700-ml,Gin HENDRICK`S Gin 41.4% 700ml,HENDRICK`S,,Selver,5.01033E+12,"Hendrick's Gin 41,4%vol 700ml",Hendrick's Gin,,medium,0.8
Barbora,https-barbora-ee-toode-juustudipp-merevaik-cheddari-200-g,"Juustudipp MEREVAIK Cheddari, 200g",MEREVAIK,,Selver,125639,"Juustudipp Cheddari, MEREVAIK, 200 g",,,medium,0.75
Barbora,https-barbora-ee-toode-heeringafilee-rasvane-vici-240-g,"Heeringafilee rasvane VICI, 240g",VICI,,Selver,4.77019E+12,"Heeringafilee rasvane, VICI, 240 g","Heeringafilee,",240 g,medium,0.75
Barbora,https-barbora-ee-toode-mahe-kaerajook-oatly-1-l,"Mahe kaerajook OATLY, 1l",OATLY,,Selver,https://www.selver.ee/mahe-kaerajook-laktoosivaba-oatly-1-l,"Oatly mahe kaerajook, 1 l",Oatly,,medium,0.75
Barbora,https-barbora-ee-toode-kohuke-alma-vanilli-40-g,"Kohuke ALMA vanilli, 40g",ALMA,,Selver,4.74013E+12,Alma kohuke vanilli kakaoglasuuris 40g,Alma,40 g,medium,0.8
Barbora,https-barbora-ee-toode-kohvioad-lofbergs-crema-1-kg,Kohvioad LÃ–FBERGS Crema 1kg,LÃ–FBERGS,,Selver,7.31005E+12,"Kohvioad Crema, LÃ–FBERGS, 1 kg",SELVER AS,,medium,0.75
Barbora,000000000000139471,Viin LAUA 40% 500ml,LAUA VIIN,,Selver,4.74005E+12,Laua viin 40%vol 500ml,Laua,500 ml,medium,0.75
Barbora,https-barbora-ee-toode-taistera-kaerarost-rost-leibur-550-g,"TÃ¤istera kaerarÃ¶st RÃ¶st LEIBUR, 550g",LEIBUR,,Selver,4.74007E+12,"RÃ–ST TÃ¤istera kaerarÃ¶st, LEIBUR, 550 g",LEIBUR AS,,medium,0.8
Barbora,https-barbora-ee-toode-glasuurkohuke-karums-kookose-45-g,"Glasuurkohuke kookose, KARUMS, 45g",KARUMS,,Selver,4.75005E+12,"Karums Kookose glasuurkohuke, 45 g",Karums Kookose,45 g,medium,0.75
Barbora,89168,Karastusjook FANTA Apelsini 1.5L,FANTA,,Selver,54491625,"Karastusjook Fanta apelsini, FANTA, 500 ml",COCA-COLA HBC EESTI AS,,medium,0.75
Barbora,https-barbora-ee-toode-heeringafilee-traditsiooniline-vici-240-g,"Heeringafilee traditsiooniline VICI,240g",VICI,,Selver,4.77019E+12,"Heeringafilee traditsiooniline, VICI, 240 g",Heeringafilee,240 g,medium,0.75
Barbora,https-barbora-ee-toode-majonees-lemmik-provansaal-405-g,"Majonees LEMMIK Provansaal, 405g",LEMMIK,,Selver,4.7405E+12,"Lemmik Majonees Provansaal, 405 g",Lemmik Majonees,405 g,medium,0.75
Barbora,https-barbora-ee-toode-pihvid-juustuga-rakvere-400-g,"Pihvid juustuga RAKVERE, 400g",RAKVERE,,Selver,4.74E+12,"Pihvid juustuga, RAKVERE, 400 g",MAAG EESTI AS,,medium,0.75
Barbora,https-barbora-ee-toode-joogijogurt-tere-mustika-vaarika-900-g,"Joogijogurt TERE mustika-vaarika, 900g",TERE,,Selver,4.74004E+12,"Joogijogurt mustika-vaarika, TERE, 900 g",TERE AS,,medium,0.8
Barbora,https-barbora-ee-toode-panna-cotta-tiramisu-nopri-150-g,Panna Cotta Tiramisu NOPRI 150g,NOPRI,,Selver,4.74022E+12,"Panna Cotta tiramisu, NOPRI, 150 g",NOPRI TALUMEIEREI OÃœ,,medium,0.8
Barbora,https-barbora-ee-toode-tursamaks-marine-abc-eo-240-g,"Tursamaks MARINE ABC, EO 240g",MARINE ABC,,Selver,https://www.selver.ee/tursamaks-marine-abc-240g,"Tursamaks, MARINE ABC, 240g",,,medium,0.8
Barbora,https-barbora-ee-toode-rost-100-proc-rukkijahu-leibur-550-g,RÃ¶st 100% rukkijahu LEIBUR 550g,LEIBUR,,Selver,4.74007E+12,Leibur RÃ¶st 100% Rukkijahu 550 G,Leibur RÃ¶st,550 G,medium,0.75
Barbora,https-barbora-ee-toode-skyr-virsiku-farmi-300-g,Skyr virsiku FARMI 300g,FARMI,,Selver,4.74011E+12,"Skyr virsiku, FARMI, 300 g",Farmi,300 g,medium,0.75
Barbora,https-barbora-ee-toode-tallinna-kilud-kaluri-250-g,"Tallinna kilud KALURI, 250g",KALURI,,Selver,4.74059E+12,"Tallinna kilud, KALURI, 250 g",LÃ„Ã„TSA KALATÃ–Ã–STUS AS,,medium,0.75
Barbora,https-barbora-ee-toode-vinnutatud-sarg-kaluri-200-g,Vinnutatud sÃ¤rg KALURI 200g,KALURI,,Selver,4.74059E+12,"Vinnutatud sÃ¤rg, KALURI, 200 g",LÃ„Ã„TSA KALATÃ–Ã–STUS AS,,medium,0.75
Barbora,https-barbora-ee-toode-soolalohe-viilutatud-m-v-wool-100-g,"SoolalÃµhe viilutatud M.V.WOOL,100g",M.V.WOOL,,Selver,4.74019E+12,M.V.Wool Viilutatud SoolalÃµhe 100 G,M.V.Wool Viilutatud,100 g,medium,0.8333
Barbora,https-barbora-ee-toode-kali-a-le-coq-klassikaline-2-l,Kali A. LE COQ KLASSIKALINE 2L,A. LE COQ,,Selver,4.7401E+12,"Klassikaline kali, A.LE COQ, 2 L",A. LE COQ AS,,medium,0.8
Barbora,https-barbora-ee-toode-poolsuitsuvorst-tommu-woro-350-g,"Poolsuitsuvorst TÃµmmu WÃ•RO, 350g",WÃ•RO,,Selver,4.74056E+12,"Poolsuitsuvorst TÃµmmu, WÃ•RO, 350 g",Suitsuvorst TÃµmmu,,medium,0.75
Barbora,https-barbora-ee-toode-vanillipuding-tere-laktoosivaba-200-g,"Vanillipuding TERE laktoosivaba, 200g",TERE,,Selver,4.74004E+12,"Vanillipuding laktoosivaba, TERE, 200 g",Laktoosivaba,200 g,medium,0.75
Barbora,https-barbora-ee-toode-rukkisepik-eesti-pagar-300-g,"Rukkisepik EESTI PAGAR, 300g",EESTI PAGAR,,Selver,4.74009E+12,Eesti Pagar Rukkisepik 300 G,Eesti Pagar,,medium,0.75
Barbora,https-barbora-ee-toode-juust-edam-mo-saaremaa-viil-450-g,"Juust Edam MO SAAREMAA viil., 450g",MO SAAREMAA,,Selver,4.74015E+12,"Edam juust viil laktoosivaba, MO SAAREMAA, 450 g",PINUS AS,,medium,0.7143
Barbora,000000000001095912,"KoorejÃ¤Ã¤tis laktoosivaba BALBIINO, 480g",BALBIINO,,Selver,4.74019E+12,"Laktoosivaba koorejÃ¤Ã¤tis, BALBIINO, 480 g",BALBIINO AS,,medium,0.75
Barbora,https-barbora-ee-toode-suur-kirde-sai-leibur-450-g,"Suur Kirde sai LEIBUR, 450g",LEIBUR,,Selver,4.74007E+12,"Suur Kirde sai, LEIBUR, 450 g",LEIBUR AS,,medium,0.8
